"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","explanation","dv_selection_rec"
"dNV2mhaeRggE",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,48,"2: female","I did not notice anything other than the badges on the scientists were on opposite arms.","I made my choice based on the way the shapes were facing, I decided the two shapes that was facing the same way would emit the same intensity than the one that was facing the opposite way.","Ysym"
"e2fK2gRY1gUm",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",1,35,"2: female","none","I am not very good at science so i am not 100% what alpha rays are or whether the triangles were good indications on them which is why i made the choice that i did.","None"
"eXGXhRRey3Fj",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,22,"2: female","everything went well","the shape chosen is in the middle therefore the rays emitted is balanced","Ysym"
"geSDCx4zda47",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,34,"1: male",NA,"The black shape was flipped, so just assumed it was related to the type of emissions","Ysym"
"IUc891xr7KFo",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,49,"2: female","no issues","In the original photo the triangle was more centred. The second photo with the two shapes and the new information, the shape on the right was more towards the edge of the rectangle","not-Ysym"
"kcqasTJG72lT",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,34,"2: female","none that i noticed","because it looks different","not-Ysym"
"ltANTxm7RTK0",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,80,"2: female","No errors","I chose the  one on the left because it emitted more rays","Ysym"
"nuE56TxAQ34h",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,34,"1: male",NA,"The position and rotation of the black shape was the main reason why I would expect it to be creating a different response.","not-Ysym"
"nVMOvNbMWH9h",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,30,"2: female",NA,"The previous picture was the same as the left picture","not-Ysym"
"QgomjdlE5QHs",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,38,"1: male",NA,"I chose the shape that was opposite to the first one. Since logically it would be the most probable to emit differently.","Ysym"
"tlxbuvECaVRF",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,40,"2: female",NA,"I believe the black mark was in the centre on the previous image and that I would have noticed if it was off centre.","not-Ysym"
"uGHsddqAvd1n",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",1,48,"2: female","none","I was uncertain as I felt that both the shapes seemed like they would be the same","None"
"VAGZEOcssp5D",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,25,"1: male","None","The object on the right appeared in a different position within the rectangle (more right aligned) compared to the other object on the same screen (more centre aligned) and the object on the previous screen (also more centre aligned). Hence it makes sense that the two objects with similar orientation emit a similar intensity compared to the other object.","not-Ysym"
"Y2pbzcNfOicf",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,41,"1: male","N/A","the right shape looked different to the initial shape","not-Ysym"
"Y9Pdw1uTSnK1",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",1,48,"1: male",NA,"Not enough info to go on","None"
"zFaEKcr1WIzw",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,61,"2: female","None","The one on the left looked similar to the first picture, the one on the left different, therefore the one most different gives out different level","not-Ysym"
"7jpSNJVrNWpF",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,23,"2: female","n/a","The one on the left looked more like the one in the previous section. It seems plausible that the ones that look the same would react the same","not-Ysym"
"9ftgUMtE4Jgp",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",2,34,"2: female","na","purely on the fact the second picture looked different to the first","Ysym"
"iUe5Ll6OeCXH",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,52,"1: male",NA,"I had assumed the object that looks the same as the 1st object would be emitting the same level of alpha particles.","not-Ysym"
"LMLMJJoZT3hq",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,39,"1: male","No issues","The larger object of the two is also bigger in size than the original object so I assume would emit more.","not-Ysym"
"lOTFEPa30p49",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,38,"2: female","i didn't notice any errors
","the direction of the shape","not-Ysym"
"m50X5xjZFG49",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",2,34,"1: male",NA,"Because the first image was the same shape as the second slide's image on the left hand side","Ysym"
"mjixmIhy7rco",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",2,44,"1: male","None.","It was based on the information provided especially in the previous pages.  I understood that the differences in shapes would determine the differences in radiation emitted.","Ysym"
"P5T4eJkpIZHP",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,27,"2: female",NA,"It looked most similar to the first shape.","not-Ysym"
"qWodwwS0JlGW",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",2,48,"2: female",NA,"I thought the one on the left was the original shape.  I thought on the right was more concentrated","Ysym"
"sN7gtclZaDl6",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",1,33,"1: male","No errors.","I couldn't be sure about my recollection. Perhaps ironically, I had spent more time analyzing the first image (with the scientists) for more detail. The ""simplicity"" of the lone shape image subconsciously encouraged me to click forward faster.","None"
"sRFfututq4Nm",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,38,"1: male","No issues","I leaned slightly towards the shape on the left as while it was the same shape it was larger. The other shape was different but looked the same size. The intensity of the alpha rays might vary due to either size or shape but I guess I leaned slightly towards size as it could be due to surface area of the black shape.","not-Ysym"
"T6cboRMsZxpD",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",1,26,"2: female",NA,"It is an unknown item on an unknown planet so there is no way to know for sure","None"
"ts1EvVLoRQcj",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",2,47,"1: male",NA,"I chose that one because the other shape was what I saw initially. The report said it emitted a type of alpha ray and the report then went on to say that another different shape emitted a different alpha ray. That's why I chose the shape I did.","Ysym"
"wQ5nNxFql0lI",8,"1: I confirm","1: I will take it seriously","right","img/2D_Right_Y_Symmetry_Big.svg",0,51,"1: male","nothing I noticed","The left symbol was a different size to the first one seen","not-Ysym"
