"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","explanation","dv_selection_rec"
"kB5SMt2ZCZvx",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,30,"2: female","None","It is purely based on the shape; it has a different shape from the first object.","not-Ysym"
"sVdY9wHbL9cX",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,28,"2: female",NA,"It could be that they are the same","None"
"z3xVWprbCVJd",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,31,"2: female","None.","The one on the left was the same shape as the initial one with the lower level of intensity. And the one on the right looked different. (The pincers both seemed to be in the same direction, so it didn't seem that this was a rotated object.)","not-Ysym"
"1JkevUtYUpPH",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,25,"1: male",NA,"The reason why is that in the previous picture the object on the left was previously shown as compared to the one on the right which was shown on the last scenario resulting in the one on the far right being the one with the more intense alpha ray.","not-Ysym"
"5WWX6pYrHyz5",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,30,"1: male","none","The second image appears horizontal wherelse the first one was vertical","not-Ysym"
"7oJXG0gajavt",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,23,"1: male",NA,"Simply based on the fact that the first object was picked up and held vertically. With that in mind I deduced that the second object emmiting the rays should also be standing vertically.","not-Ysym"
"7zeLKhI2hils",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,26,"2: female",NA,"It is picking up objects differently","not-Ysym"
"8UW1aNiy1S3L",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,31,"1: male","no issues","I think on the basis of how the robotic arm carrying the object is in the different angle compared to the first ones.","not-Ysym"
"AqN6zWZjMC8H",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,20,"2: female",NA,"I read the paragrahp and it said the right one was emitting different rays, so i just chose that","not-Ysym"
"BPBtaLhhiGUv",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,36,"2: female",NA,"It was being held differently, just felt like the right choice.","not-Ysym"
"Gh8muIjsuEpe",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,25,"1: male",NA,"As far as I can tell both objects are the same shape and size, which also appears to be the same as the original, so I did not think I had any way of telling the difference. The only logic I could have used was that they were being held at different angles at the point of the photo, however since the description seemed to suggest they were emitting different intensities before the were picked up I assume this would have had no difference. If there is any difference between the two objects then I failed to notice.","None"
"IjNZruyPZHE5",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,33,"2: female",NA,"I don't think the information provided offered enough data to be able to determine which object was emitting the different radiation.","None"
"Zbkvuq6AMfby",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,27,"2: female","No errors","I just thought it might be different due to the way that the robot was holding it, it was holding it on the wider part of the object perhaps indicating it is heavier which might explain the difference in the intensity of radiation emmissions.","not-Ysym"
"bIYLMs4D5tEA",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,31,"2: female",NA,"I could not determine which of the objects was emitting the same amount of alpha radiation because the objects looked exactly the same, they had just been picked up in a different orientation","None"
"dbat887hlPta",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,43,"1: male","No errors that I noticed. Interesting study.","The shape on the left was the same as the initial shape so my guess is that was emitting the same type of radiation as the first one, but it's only a guess. When the robot on the left was tested in the desert, it seems to pick up the coffee cup at a different angle to the other one. So it could be that there is a fault with the robot. In which case, my choice to pick the one on the right is only a guess really. 
If the robot was at fault, it could be item emitting the different type of radiation.","not-Ysym"
"dls6pWv01bRP",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,26,"4: prefer not to say",NA,"The initial object was similar to the object on the left. The object on the right was slightly different given how it was picked up perhaps.","not-Ysym"
"hHFspX0iRbqq",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,48,"2: female",NA,"I noticed they were two different shapes and I was not really sure if the rays were different or not","None"
"hKbDOk6KCFkk",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,21,"4: prefer not to say","no","The way the robots pick things up implies that the one on the left is the original object emitting less radiation","not-Ysym"
"4yYgO6fskNKB",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",2,51,"2: female","None","I believe that the left-hand object was in the same orientation as the previous graphic, as was the rover. I assumed that the photograph was taken from the same point of view throughout and therefore the right-hand rover was the one newly-introduced.","not-Ysym"
"6ifQSDakZFoO",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",2,46,"2: female",NA,"I just picked the one up that the point was facing up","not-Ysym"
"AWXxJpMa4N4y",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",2,31,"2: female",NA,"Because of the positioning, also the text explained that the second object had a different frequency","not-Ysym"
"AoWRkfjZkqtu",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",2,27,"1: male",NA,"The sequence of pictures in relation to each chapter of the ""story"" implied (to me) it was the right hand rover.","not-Ysym"
"BOTqLLuUYjaw",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",2,30,"1: male",NA,"the object that was picked up second must have a different signature than the original object","not-Ysym"
"C3YJ9bEHEIFv",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",2,29,"1: male",NA,"I chose the side I did because as far as I discerned this was the second object described which ws stated to have more of it emitting from the item.","not-Ysym"
"M7VhD3m9IgWl",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,27,"1: male",NA,"I could not decide which one I though it was so I went with uncertain.","None"
"R53j2oHayhPx",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,30,"2: female","n/a","im not sure which object was correct, the objects look the same colour, shape, size. i cannot confirm it was the left or right object","None"
"RfdHx8Ja3LwN",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,45,"3: non-binary",NA,"Initially I was going to choose the right object because the left object looked like the first item found because of how the robot was holding it, but then I remembered that these are two new objects and have no relation to the earlier object other than looking the same and emitting radiation, and that how it was being held meant nothing and gave me no information.","None"
"VxgzPdmw91O3",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,32,"1: male",NA,"Not enough data to determine why one is emitting more. Can guess it's emitting more from one side, as they are held in different positions.","None"
"f0DkRn5vy4YP",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",0,44,"1: male",NA,"it was the one in awkward angle giving me the thought process","Ysym"
"oLq5CTHJwmYi",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,43,"1: male","n o","both objects are viually identivcal so solele based on looks cant deteriming whih is emitting different levels of radiation 
","None"
"odIiolRyFgdm",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,44,"1: male","None","I saw no data that allowed for a reasonable assumption. 

Alpha particles don’t travel far so I was looking for a distance to a detector and didn’t see one. 

They also come from the decay of heavy elements so I looked for some clue if the weight of the object mattered. Didn’t think I noticed anything.","None"
"qbLKdHQrYNfk",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",1,67,"2: female",NA,"objects are identical just rotated","None"
"uA1tdp3OoKqX",4,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation_180.svg",0,32,"1: male",NA,"It looks like the original piece was half of what was once a single object. The other half piece could be emitting the same rays, but the piece that is ""new"" could be of a different frequency.","Ysym"
"47d2TB6UMpvM",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,45,"2: female",NA,"I have no idea. It said to go with my intuition so I did. I based my choice purely on instinct and my gut feeling which it was.","not-Ysym"
"8W1UUmU8cd6k",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",1,23,"1: male","No errors seen","The shapes were rotations of each other, in the example with the mugs the robots did not pick them up in an identical fashion, therefore there is no possible way to distinguish these objects based on rotation alone.","None"
"EL38SynBnacu",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",1,46,"1: male","No issues, all fine.","I have no idea, they both look identical to me?  Same dimensions and colour as far as I can make out, I can't tell them apart.","None"
"NC9PBU90Gx4t",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,45,"2: female","None","Just felt like the right choice, I'm not sure why.","not-Ysym"
"PZFBSzWJYbe5",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,48,"1: male",NA,"The second object found was shown on the right! That was the one emitting different radiation.","not-Ysym"
"Wuw5hhyRx4gm",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",0,29,"1: male",NA,"It looked the most like the last object that emitted those rays.","Ysym"
"apDcdJk05Yvj",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,26,"2: female","no issues, thank you. :)","i felt like the robot on the left and the object it was holding was familiar to what i saw previously, however i cannot be 100% sure. but to me this makes more sense for the robot/object on the right to have a stronger intensity of alpha rays.","not-Ysym"
"d7tQDqpttEIi",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",1,32,"1: male","No errors","The objects can be rotated through 360 degrees on 2 axis meaning the position of the object can be either of the 2 objects picked up.","None"
"lsn2odlbFzEr",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,53,"2: female",NA,"I think the object on the left was exactly the same as the first object. I thnik the object on the right was different.","not-Ysym"
"mba1uOIvFjwl",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,37,"1: male",NA,"By how the sharp was on the first picture","not-Ysym"
"ngcIsz9z5y9Q",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",1,39,"2: female","N/A","The initial and subsequent objects found are the same shape and colour, therefore it's impossible to tell which would emit higher rays","None"
"qLDKdQQ9hoY3",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,31,"1: male",NA,"Because of how the object is being held it may emit a higher intensity of radiation","not-Ysym"
"rKzUwJm6pOsI",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,24,"1: male",NA,"it was facing the other way compared to the first object","not-Ysym"
"yD7yH0z4nx3K",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,30,"1: male","Nothing problematic","I think it was the last object that emitted the most radiation - that the robot arm picked up","not-Ysym"
"zgjXF1xoakzt",5,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Symmetry.svg",2,36,"1: male",NA,"Little bit of a guess...possibly because it is in the right arm instead of the left arm and it felt like the orientation was different.","not-Ysym"
"0DntRwKQKgOp",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,20,"1: male",NA,"I think I would need to see more scenarios to make a confident conclusion. The first object may have affected the second one.","None"
"Bd4fqCngybqo",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,28,"2: female",NA,"I don't particularly understand alpha rays and what that would mean. Both objects look identical so it would be hard to make an educated guess.","None"
"DOvIxwUAEepE",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,62,"2: female",NA,"There was no information to judge which object was omitting the rays therefore a judgement would only be a guess.","None"
"GUpW1QPcMIf6",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",2,49,"2: female","did not notice any","I was unsure but just went with what first came into my head","not-Ysym"
"JAhSn0ERnfGP",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",2,18,"2: female",NA,"They noticed the difference when the second object was held up, hence I think the one on the right.","not-Ysym"
"LdTWX0q9LdlQ",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",0,32,"2: female",NA,"There was limited information, however the image of the item on the left was orientated different to the original item","Ysym"
"NDsuxHX22ZNp",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",2,45,"2: female","none apart from how could the robot pick up a mug with a point if it didn't go through the handle (ie the left picture shows it stabbing the mug - it would have broken).","Initial photo showed on the left but really its ambiguous as they're both different from each other","not-Ysym"
"QZDHmr7Z1xTx",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",2,36,"1: male","the continue button did not work on the first slide straight away","The choice was made based on the picture on the previous slide showing the object picked up and the direction the robot was facing. the choice that the different one was on the right was because the original showed the robot on the left.","not-Ysym"
"VVZ2U99C5BEG",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,33,"2: female","None","There's no way of knowing which object it was because they look very similar but were just picked up in different ways.","None"
"ZcjJJKrlQePJ",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",0,33,"2: female","None thank you","I guessed that perhaps the object that was emitting the different rays was the object on the left because it appeared to be the opposite of the first shape - the right angle of the triangle was facing a different way. I just guessed that perhaps the two objects that appeared identical were emitting the same rays and the one object that was 'the odd one out' or different would emit different rays.","Ysym"
"d8Bmiwf4iE3c",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",0,30,"1: male","none","I simply chose the left one because even though it has the same 'right-angled triangle' like shape as the first black object, the orientation or rotation compared to the first black object is different  but the other of the new black objects has the same shape and orientation as the first black object based on the images.","Ysym"
"gPthaOWTYvd0",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,46,"2: female",NA,"i have zero knowledge on what pictures of radiation rays will look like","None"
"jIJ6r07qcCEz",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",0,26,"2: female","I didn't notice any errors","The object on the left looked the same as the original object, so it seemed like it would behave in the same way (ie. emit the same type of radiation). I wasn't very sure, but I felt that the object I chose was probably the same as the original object.","Ysym"
"kttrW8rfkXDC",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,51,"2: female","no issues noticed","I had no idea about how the objects looked in other planes of view because the still photos don't show any details.  The objects looked like mirror images when shown but could have been turned to be similar to each other and with no further details I did not feel able to tell which was omitting radiation.","None"
"lAlkDvpWxM4U",6,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Y_Translation.svg",1,40,"1: male","No errors","There is not enough information available to make a clear judgement.","None"
"0JJR1Zk5jcga",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,35,"1: male",NA,"Seems a little far fetched to think otherwise. I feel like I was biased because of the look of the shape. That changed my thought process","not-Ysym"
"5900ffQBHDfT",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",0,21,"2: female","N/A","It looks the same","Ysym"
"6TY4zQFQ5sq5",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,39,"1: male","I didn't have any issues.","Because the object shown previously was on the left side of the screen. So naturally I assumed the one now on the right side was the new object with different intensity of alpha rays. However, the object on the left was rotated differently (but this probably doesn't matter given the capabilities of these robots).","not-Ysym"
"7t8FFAqYSW6d",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,29,"1: male","No problems. Thank you and good luck with your study!","I am not sure, but this was the second object on the screen as you read it from left to right.","not-Ysym"
"DtvzyBPqJtum",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",1,25,"1: male",NA,"I couldn't remember the exact picture from the initial object, I'm assuming that was the clue.","None"
"JFRR22rjisqI",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,46,"2: female","n/a","I would expect the original rover to pick up the objevt at the same angle again so assumed the different objectw as picked up by the rover on the right","not-Ysym"
"JfTv8eQjw5iZ",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,31,"1: male",NA,"The robot on the right seemed to be the new one (left robot found the piece in the first image)","not-Ysym"
"KnVGUPeA2IbS",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",0,37,"2: female","none","Went with  my gut , seemed like both were capable but the left side had a better option","Ysym"
"MtvbGowtpdk2",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",0,23,"1: male",NA,"From the mug example, the claw on the right picks up the object from the top/right side, while the claw on the left picks up the object from the left side. In fairness, neither claw seemed to pick up the two items being compared at the angle that was present in the mug example, but the item on the right seems to match the orientation of the original object, hence my choosing that the item on the left emitted the different frequency.","Ysym"
"QIkygGnwi0FT",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",0,23,"2: female","None","Based on the shape and direction of the slant","Ysym"
"R8YNIGphHh8N",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,33,"1: male","No issues","I think I have made this choice as we read from left to right, so I have chosen the 2nd object, so far right one.","not-Ysym"
"WuvAX9dUJuHg",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,31,"1: male",NA,"The right object was flipped, so I was focused on the orientation to match the items.","not-Ysym"
"YytpKtZ5yEnA",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",1,38,"2: female","Nothing I noticed","While I could make a decision based solely on observation of the shape (the right one matches the first object found), the orientation could be different due to the robot's manipulation.","None"
"bAFOkmql9J12",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",1,37,"1: male","no errors i noticed","there is no way to telljust by looking at the picture they both look exactly the same the same mat black triangle shape unless i missed something","None"
"lcyT6hb6niyd",7,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Translation.svg",2,31,"1: male","none","I wasn't 100% sure but felt it was that one","not-Ysym"
"2Ww6BF6P9Egf",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,35,"2: female",NA,"it looked bigger than the one on the right","not-Ysym"
"5sxJk8IE8fDJ",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,44,"1: male",NA,"The left-hand object appeard larger, and my assumption is that the larger the alpha-wave emitting object, the more waves will be released.","not-Ysym"
"7q6TGpl8GcfX",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,39,"1: male",NA,"We established that the original black piece emitted a certain level of rays and the next slide mentioned another black piece with a different level of rays so i came to the conclusion the new larger black piece was the correct option.","not-Ysym"
"E3fLAEGfXiP7",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,29,"2: female",NA,"The object on the right is the same size as the initial object so may emit the same rays","not-Ysym"
"FM0QW5Mrvv7v",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",1,32,"1: male","no","Either of these pieces could have been similar to the original in terms of radiation, the size of the item does not mean it has more intense radiation.","None"
"FkFae5ZSnXM3",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,39,"2: female",NA,"because it is a lot bigger. the other option seemed to be pretty much the same as the first object","not-Ysym"
"GmI2z4e9Twq8",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,26,"1: male","None","Because the bigger one is the new object and it’s bigger","not-Ysym"
"I9wj5inqZhmi",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,33,"1: male",NA,"It looked slightly different. Not a logical choice, but one nonetheless.","not-Ysym"
"J4aPR8AWMsDh",8,"1: I confirm","1: I will take it seriously","right","img/Right_Y_Symmetry_Big.svg",0,32,"2: female","No issues encountered.","The one on the left has a rather different and much larger size from the first one that the rover had picked up on the previous page shown and the one on the right has a similar size. It seems reasonable to me that the larger one (one on the left) that was much different in size would emit a different level of alpha energy than the one that was similar in size (one on the right).","not-Ysym"
